timestamp,attack_type,cve,cvss_score,severity,payload_snippet,label,status_code
2026-05-21T11:38:05.735240,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:05.735240,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:08.337258,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:08.444224,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:10.630297,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:10.709563,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:12.751250,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:12.873075,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:16.704552,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:16.776104,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:18.912904,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:18.958640,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:22.796639,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:22.860962,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:25.007818,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:25.067645,dos,N/A,0,HIGH,large_payload,1,N/A
2026-05-21T11:38:27.222502,benign,N/A,0,NONE,normal_orders,0,N/A
2026-05-21T11:38:30.265551,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T11:38:33.356810,benign,N/A,0,NONE,normal_products,0,N/A
2026-05-21T11:38:36.205360,benign,N/A,0,NONE,normal_users,0,N/A
2026-05-21T11:38:38.894220,benign,N/A,0,NONE,normal_products,0,N/A
